;id;;TipoEmpresa;;Empresa;;pais;
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';44496c8b-c971-3912-ef47-438dfb05614b;',';Manufacturing;',';Electronics;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';69df481f-8899-8333-3d9c-438dfbae3e94;',';Manufacturing;',';Construction;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';9bf12bea-3d89-2b67-a279-438dfb7f1aa9;',';Supply;',';Electronics;',';Mexico;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';c5fb833d-150f-99a6-9946-438dfb94f2c5;',';Distribution;',';Machinery;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';24360cfc-2889-5353-2998-438dfbffd419;',';Distribution;',';Engineering;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';28a3374d-7edd-e1ae-8b82-438dfbb1ba4b;',';Manufacturing;',';Construction;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';5a6c2cce-c982-432d-802f-438dfbaa1b2d;',';Consulting;',';Communications;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';7fb9aa29-6e36-4329-96a0-438dfbe17998;',';Distribution;',';Engineering;',';Mexico;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';a5207af5-eba0-4a11-4fec-438dfb66e63f;',';Distribution;',';Telecommunications;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';ca77a3a6-1980-87ca-3936-438dfbc5ed9a;',';Distribution;',';Electronics;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';301d0472-13ab-06ea-b8ea-438dfbbf5d2b;',';Manufacturing;',';Telecommunications;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';2fe59fe0-21e0-b9aa-f06e-438dfbf94248;',';Consulting;',';Transportation;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';5bcee21d-2f47-8266-e876-438dfb7e8edd;',';Supply;',';Communications;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';812f72fc-ab3e-476d-9117-438dfb874384;',';Distribution;',';Construction;',';Mexico;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';c2f7eed0-8116-30ea-954e-438dfb1eabdb;',';Manufacturing;',';Electronics;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';ec7d9ee2-985e-832d-246a-438dfb43d183;',';Supply;',';Transportation;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';25d33195-1843-27b2-f5df-438dfbbd4332;',';Manufacturing;',';Transportation;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';5a9ce64f-76c1-d0b3-0321-438dfb8cf7b6;',';Consulting;',';Construction;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';7ff64e0f-4980-e147-e646-438dfb3c2560;',';Distribution;',';Transportation;',';Mexico;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';a57a0171-598b-52c1-a44f-438dfbac3293;',';Consulting;',';Machinery;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';cad65136-9e79-c945-107b-438dfb8b41de;',';Supply;',';Electronics;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';f09a17fa-2820-2d97-db3c-438dfbf7e7e5;',';Distribution;',';Engineering;',';Mexico;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';221acfb4-1667-5126-232f-438dfb9ae6c1;',';Distribution;',';Communications;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';49d9b236-ff3a-4340-f619-438dfb42fdf8;',';Supply;',';Machinery;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';6fc8c6a5-7400-9855-fac4-438dfb37774c;',';Supply;',';Communications;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';953f26e5-ef03-73a5-2912-438dfbf3e02e;',';Supply;',';Construction;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';baa2d9d1-3d4d-1de9-fdf3-438dfba9a8e5;',';Supply;',';Electronics;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';eea76ad0-2d41-1f9b-c178-438dfb4344f9;',';Manufacturing;',';Machinery;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';1fe57f85-843a-c2da-ce4a-438dfbdca0ec;',';Distribution;',';Transportation;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';4ab5174a-cfe1-ac9d-33d7-438dfb1ba854;',';Supply;',';Engineering;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';71d45061-e051-80ff-387f-438dfbcf7868;',';Supply;',';Construction;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';9831fcba-daad-6531-f7d9-438dfb452a61;',';Manufacturing;',';Transportation;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';bd7a6aa6-59fa-3349-782d-438dfb6a361a;',';Consulting;',';Transportation;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';e3d36dd6-a3ec-ca32-8f00-438dfbf01d62;',';Consulting;',';Telecommunications;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';16270908-902d-5444-bdd2-438dfb677e78;',';Consulting;',';Communications;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';3f6d17ff-3b92-d8ce-b733-438dfb08d42a;',';Distribution;',';Communications;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';672ce9a6-eabc-8209-5417-438dfbe5cda1;',';Distribution;',';Engineering;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';8dbf7451-dc4a-3634-8099-438dfb762ae2;',';Supply;',';Transportation;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';b48abc38-b9e5-f7a7-1a0a-438dfb92bcf3;',';Supply;',';Machinery;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';da0b3314-1bd1-f760-47f1-438dfba1b415;',';Supply;',';Machinery;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';115922df-1ff1-d274-144c-438dfb73dc42;',';Distribution;',';Transportation;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';389b7a9d-973c-9771-632a-438dfb1fddfc;',';Manufacturing;',';Machinery;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';63f1f0f0-6489-f61f-9a36-438dfb750c25;',';Supply;',';Transportation;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';8945a4f8-4927-b6da-7fbc-438dfb9c24e5;',';Consulting;',';Construction;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';b23360b3-d90f-0bf2-6864-438dfba63bde;',';Supply;',';Engineering;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';d97458bd-138c-6ccd-14c1-438dfb875b17;',';Consulting;',';Construction;',';Mexico;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';cdb7018f-2af9-c5c5-bc5a-438dfbeabc25;',';Manufacturing;',';Transportation;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';34b7fcff-4ff6-4547-cc7f-438dfb271457;',';Distribution;',';Construction;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';6243d450-6220-61bb-adf6-438dfb62abb7;',';Distribution;',';Transportation;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';8bfc78c0-4447-55f8-cdcf-438dfb161815;',';Supply;',';Engineering;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';b3a58eda-3bc0-5d5d-8ca5-438dfbaadf87;',';Distribution;',';Communications;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';dd8ee07f-61bd-30be-d935-438dfb426550;',';Consulting;',';Transportation;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';114ec48e-57e4-c5c2-6507-438dfb9ef25b;',';Supply;',';Communications;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';3981b1f2-08e7-abb6-7b8e-438dfb4658ac;',';Consulting;',';Communications;',';Mexico;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';63857cd3-6d3f-f409-fc9e-438dfb3001c1;',';Consulting;',';Machinery;',';Mexico;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';9052e8c4-579b-4c67-d96e-438dfbe34bfd;',';Manufacturing;',';Construction;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';b852c1cb-196b-7ad1-9184-438dfbc4807b;',';Supply;',';Machinery;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';e0deb83a-33bc-8a70-50a3-438dfbf1a6a6;',';Supply;',';Electronics;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';12198b06-7362-bee7-e01a-438dfbd300d2;',';Manufacturing;',';Construction;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';3d3f5fec-1a99-37c2-6014-438dfbb1a5c1;',';Consulting;',';Telecommunications;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';64ec2f2b-40b0-800b-58d6-438dfb65cc42;',';Supply;',';Transportation;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';92f1a02c-7979-d266-3394-438dfbc063ae;',';Manufacturing;',';Electronics;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';be69c39d-736a-d99a-4197-438dfb894cfb;',';Distribution;',';Engineering;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';e6c97f92-50da-b9e5-7b28-438dfb52a851;',';Consulting;',';Telecommunications;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';1e493e94-354d-d36a-f996-438dfb1616f5;',';Manufacturing;',';Machinery;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';491c4d19-fbdd-d1dd-89a2-438dfb782d21;',';Consulting;',';Construction;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';75f3c5be-eb04-4dcb-14ce-438dfb5a878c;',';Consulting;',';Electronics;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';9b726ecd-688f-c61a-a444-438dfb218fd1;',';Consulting;',';Engineering;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';c8bc538e-0714-e8c1-94bb-438dfb137c7a;',';Supply;',';Telecommunications;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';59fb0e8f-dc34-a05a-0f81-438dfba3c7a8;',';Manufacturing;',';Engineering;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';3389b370-a721-0e58-e2b2-438dfbcbdd37;',';Manufacturing;',';Machinery;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';5b65bb26-ee94-0741-e6d7-438dfb27d784;',';Manufacturing;',';Engineering;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';8c5d0a27-943d-83f0-15a5-438dfba33bc3;',';Consulting;',';Machinery;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';b9492cd8-4a97-892c-c9c3-438dfb201fab;',';Distribution;',';Transportation;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';df0f0986-f65e-d456-1351-438dfb44de21;',';Supply;',';Electronics;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';145df113-5365-45fa-ebe7-438dfbbd5844;',';Distribution;',';Machinery;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';47f16a6f-0237-ee14-c676-438dfb83235d;',';Supply;',';Construction;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';756fbb6a-6aa6-3de0-15da-438dfbe81403;',';Consulting;',';Electronics;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';a306a41f-d08d-9f88-7e78-438dfbb3dbf4;',';Supply;',';Telecommunications;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';d0aa1c58-ab79-3669-d1e3-438dfb7eb918;',';Consulting;',';Machinery;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';61c904f0-7a9d-bd79-1c3c-438dfb588f82;',';Distribution;',';Communications;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';2b9828bf-e533-2198-b512-438dfb8d5bce;',';Consulting;',';Construction;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';5348b563-0622-42d3-71ba-438dfb807b3f;',';Consulting;',';Telecommunications;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';860964ee-8fd8-a620-ec96-438dfbf111c3;',';Consulting;',';Transportation;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';ab505e26-a5cc-8535-2e96-438dfb5e4452;',';Consulting;',';Transportation;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';d53a7082-2cca-4184-26df-438dfb8a9e29;',';Consulting;',';Communications;',';Mexico;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';683501c7-529b-869a-5687-438dfb04ab8b;',';Manufacturing;',';Electronics;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';2c46c77e-e5a7-5cc1-6df7-438dfb2e201c;',';Manufacturing;',';Construction;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';589ab56c-b842-1e39-fa69-438dfb3c55d5;',';Supply;',';Electronics;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';7e48a579-8198-83c2-3e93-438dfbb37fa2;',';Distribution;',';Machinery;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';a3ae5ce7-97f3-0767-2c32-438dfb67ba2f;',';Distribution;',';Engineering;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';d3341561-6269-a089-3222-438dfbd74426;',';Manufacturing;',';Construction;',';Mexico;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';99540248-a633-5eab-e014-438dfbbb6d0d;',';Consulting;',';Communications;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';3e8c7862-6b2a-0824-ec19-438dfb18f048;',';Distribution;',';Engineering;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';6b74ee4d-f2e1-c581-dd78-438dfb730c7e;',';Distribution;',';Telecommunications;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';9b5b10ca-e088-dfb3-7bd6-438dfb9f4ae9;',';Distribution;',';Electronics;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';cb6a9a32-58b5-580b-d07f-438dfb32eafe;',';Manufacturing;',';Telecommunications;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';1221a978-b701-cc79-29b4-438dfb27ec07;',';Consulting;',';Transportation;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';42b754c8-dfad-6eaf-cbe5-438dfb050c30;',';Supply;',';Communications;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';6aa69a70-12fe-e914-688b-438dfb971562;',';Distribution;',';Construction;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';a0e7ad4b-b177-b914-da9c-438dfbda815f;',';Manufacturing;',';Electronics;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';c6632abb-10b1-66c3-3525-438dfb4119f5;',';Supply;',';Transportation;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';f1b68c60-fd88-d531-9e4c-438dfb9d470d;',';Manufacturing;',';Transportation;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';28f75af4-5123-7550-243f-438dfb8ddf01;',';Consulting;',';Construction;',';Mexico;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';51066781-1ec3-3fe8-7322-438dfbd99b65;',';Distribution;',';Transportation;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';827f20ff-6ccb-df5c-4492-438dfb56d80b;',';Consulting;',';Machinery;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';ae0caf82-6b91-edcd-ac34-438dfbcae84b;',';Supply;',';Electronics;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';d97a4b11-78d3-b9d3-7024-438dfbf6028a;',';Distribution;',';Engineering;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';16eb4b2a-a495-ed33-7f2c-438dfb73ede3;',';Distribution;',';Communications;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';4ad0c452-7b48-f49a-70a1-438dfb731561;',';Supply;',';Machinery;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';709024ac-3d9e-e75a-0885-438dfb820403;',';Supply;',';Communications;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';9c5ee206-33e1-c7be-2e44-438dfbcfc3a3;',';Supply;',';Construction;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';c80dea92-93bd-414c-7d12-438dfbe287a0;',';Supply;',';Electronics;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';cadd0934-23c0-fc21-697f-438dfbfc60c0;',';Manufacturing;',';Machinery;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';322e401c-c694-0233-da27-438dfb2436c5;',';Distribution;',';Transportation;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';6052c1a5-b3da-6061-5b1a-438dfbf123ea;',';Supply;',';Engineering;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';85ee0e3f-0406-f066-bfe7-438dfb3e0803;',';Supply;',';Construction;',';Canada;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';b2bfa84e-a0ac-6463-92be-438dfbaed94a;',';Manufacturing;',';Transportation;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';d84cc26b-f46c-10fd-4f62-438dfb4edfa7;',';Consulting;',';Transportation;',';USA;"');"
INSERT INTO accounts (id,  TipoEmpresa, Empresa, pais) VALUES(';1ef0046a-4960-119d-3483-438dfb613ed1;',';Consulting;',';Telecommunications;',';USA;"');"
